Município,Ano,Código IBGE,Desmatamento (km²),PIB per capita (R$),PIB (R$ 1.000),VAB Agropecuária (R$ 1.000),VAB Indústria (R$ 1.000),VAB Serviços (R$ 1.000),População,Focos de Queimada,Total de Benefícios Básicos (Bolsa Família),Área plantada soja (ha),Área plantada milho (ha),Total Rebanho (Bovino),Internações por Doenças Respiratórias
Abaetetuba,2008,1500107,1.2424613960392064,3325.16,458888.7,52808.71,44176.94,152107.26,138005,194,12404,0,50,4194,10225
Abaetetuba,2009,1500107,2.989673967114268,3642.24,509254.35,62031.9,30267.13,174853.63,139819,190,14743,0,50,3438,10692
Abaetetuba,2010,1500107,3.82898298840546,4138.79,583793.45,71932.59,31239.98,201654.94,141054,162,16672,0,80,2263,10629
Abaetetuba,2011,1500107,0.8320869368751692,4971.7,709883.61,88434.83,44167.31,247545.1,142785,130,18705,0,100,1527,9931
Abaetetuba,2012,1500107,2.240917804544368,5526.11,798053.28,115890.04,36469.75,276895.2,144415,153,20719,0,150,1859,9364
Abaetetuba,2013,1500107,0.4211711114951701,6053.14,891428.35,136078.48,37866.7,300364.01,147267,169,20585,0,150,1858,7954
Abaetetuba,2014,1500107,0.2439393881625319,7097.05,1056559.28,125398.04,60020.82,391208.63,148873,121,20707,0,120,1700,7296
Abaetetuba,2015,1500107,0.5861482650246084,7927.59,1192555.06,148359.98,62859.36,440295.94,150431,128,19325,0,120,19086,7791
Abaetetuba,2016,1500107,0.3856690067861612,8205.13,1246638.76,140528.92,58485.21,464340.38,151934,166,21586,0,90,2408,6366
Abaetetuba,2017,1500107,1.178923414086653,8719.21,1337352.84,168016.04,64818.45,478637.78,153380,168,29526,0,50,2800,7829
Abaetetuba,2018,1500107,0.6396519103752514,9044.08,1413516.71,160292.73,65828.36,525132.66,156292,75,33679,0,90,3100,7941
Abaetetuba,2019,1500107,0.3401230771782639,9458.72,1491621.05,147546.88,66557.34,553785.28,157698,71,33696,0,90,2800,7587
Abaetetuba,2020,1500107,1.224493410799275,10433.07,1659692.6,234488.21,66174.17,576005.12,159080,106,33399,0,90,3100,5514
Abaetetuba,2021,1500107,1.6968263946206572,12150.04,1949340.72,272103.46,73666.59,754254.4,160439,55,33002,0,90,3500,10107
Abaetetuba,2022,1500107,0.4069212888686356,11957.02,1900855.11,240086.95,77014.11,707086.97,158974,72,36284,0,90,3800,12251
Abaetetuba,2023,1500107,0.3144634821173946,12592.32,2008601.71,253775.59,80210.29,748631.13,159510,97,37991,0,90,4500,12017
Abaetetuba,2024,1500107,0.5648192609955512,13227.62,2116348.31,267464.22,83406.48,790175.29,159995,71,39698,0,96,4327,11926
Abel Figueiredo,2008,1500131,2.0430416513672123,6564.91,45160.04,18143.11,4263.39,9869.4,6879,35,564,0,890,58328,371
Abel Figueiredo,2009,1500131,1.0405524217900506,7458.48,51963.22,20885.6,4074.68,11093.95,6967,29,603,0,770,52498,680
Abel Figueiredo,2010,1500131,1.7377752785551128,7891.45,53598.7,22231.7,3926.6,10937.58,6792,32,712,0,920,48198,674
Abel Figueiredo,2011,1500131,0.4365702380566971,9319.84,63784.97,26422.76,5032.88,12625.01,6844,26,932,0,1260,44422,663
Abel Figueiredo,2012,1500131,0.0,6419.65,44327.65,11595.82,-409.97,11582.1,6905,35,977,0,1350,46000,759
Abel Figueiredo,2013,1500131,0.3560808950352158,8209.5,57573.2,16235.73,3695.0,13854.69,7013,8,1015,0,1360,54531,733
Abel Figueiredo,2014,1500131,0.4211885291934384,9812.22,69372.42,18932.55,6451.74,17373.39,7070,60,1046,0,360,57517,646
Abel Figueiredo,2015,1500131,0.1644385884062416,9345.95,66599.27,14380.63,4832.83,18366.42,7126,35,993,0,400,54195,530
Abel Figueiredo,2016,1500131,0.5040841573761293,10683.76,76698.73,21381.59,5167.86,19998.5,7179,20,995,50,340,45934,399
Abel Figueiredo,2017,1500131,0.2402553422768378,11151.02,80633.03,19371.16,6029.02,20834.07,7231,32,1053,55,350,46364,600
Abel Figueiredo,2018,1500131,0.9512147374066928,11133.31,82186.1,15504.98,6955.12,23323.55,7382,31,1129,60,385,45025,418
Abel Figueiredo,2019,1500131,4.153506027498901,11420.76,84901.9,15163.72,6968.74,23935.22,7434,29,1120,4000,120,50371,415
Abel Figueiredo,2020,1500131,1.213128051320839,12805.61,95862.82,22317.46,10048.31,22602.16,7486,33,1119,5500,200,49300,187
Abel Figueiredo,2021,1500131,2.072079952766948,13998.91,105495.79,27211.22,9397.1,24595.19,7536,22,1099,5600,210,45670,471
Abel Figueiredo,2022,1500131,2.7259403528643067,13529.65,101416.67,19984.62,8892.67,26701.21,7496,33,1250,5600,210,46200,496
Abel Figueiredo,2023,1500131,1.53300483646723,14036.31,105623.11,20079.92,9350.42,27966.22,7525,44,1289,5600,210,50800,474
Abel Figueiredo,2024,1500131,0.1749114187925102,14542.97,109829.54,20175.22,9808.18,29231.23,7552,38,1329,5359,0,46743,423
Acará,2008,1500206,47.75979073352992,7213.16,352564.64,195910.8,24941.47,46074.2,48878,974,4902,0,300,25000,2680
Acará,2009,1500206,11.895465461223644,8636.02,418855.54,239965.94,23514.53,54512.96,48501,957,5096,0,300,26000,2103
Acará,2010,1500206,30.159612138842373,8222.51,440767.45,225732.82,47125.18,51364.28,53605,869,5248,0,300,21480,2000
Acará,2011,1500206,15.00688320817623,9383.67,503715.62,257776.3,51158.86,57573.82,53680,612,6156,0,300,11689,2001
Acará,2012,1500206,4.814033032697277,9424.51,506916.14,267160.64,18635.07,62985.36,53787,738,6726,0,300,6372,2086
Acará,2013,1500206,18.270716486079618,16132.13,871618.82,571897.54,48243.11,87444.7,54030,634,7762,0,500,10085,2103
Acará,2014,1500206,5.834379091348468,10680.63,577255.92,296398.98,31462.21,76629.3,54047,539,9666,0,300,10948,2083
Acará,2015,1500206,7.007347264517175,11854.28,640889.76,316523.34,40395.86,84929.11,54064,639,9059,0,300,11982,1696
Acará,2016,1500206,7.2124247535574435,14594.52,789271.49,441329.64,43974.11,97243.26,54080,752,9180,0,30,10546,1498
Acará,2017,1500206,18.538495417554365,17231.86,932174.74,541087.59,43286.34,109661.31,54096,761,10194,0,50,10740,1447
Acará,2018,1500206,16.741240950348107,16463.75,913952.27,495212.0,41081.69,119977.45,55513,441,11126,0,50,19741,1440
Acará,2019,1500206,18.166062982018424,13582.97,755091.1,330925.85,32208.12,110136.52,55591,402,10810,0,50,19700,1424
Acará,2020,1500206,15.66707660532316,15840.27,881811.76,429718.8,32174.43,105076.79,55669,591,10795,0,50,12179,955
Acará,2021,1500206,10.31394480495364,25714.69,1433439.84,904959.24,58507.48,130361.03,55744,328,10478,0,50,15184,1369
Acará,2022,1500206,5.708188704906543,20682.32,1157144.38,639698.1,45691.37,132900.86,55948,441,12344,0,50,15674,1595
Acará,2023,1500206,8.364741384960636,21678.29,1216017.68,672471.19,46672.04,139249.83,56094,749,12874,0,50,18099,1399
Acará,2024,1500206,12.631878651278807,22674.27,1274890.97,705244.27,47652.72,145598.8,56226,666,13403,0,0,13300,1756
Afuá,2008,1500305,0.1335821939953553,3741.1,121092.0,41936.74,6294.02,16933.46,32368,9,2124,0,0,3800,1069
Afuá,2009,1500305,0.0,4103.26,133901.62,47784.29,5745.43,18899.87,32633,8,3051,0,0,4200,712
Afuá,2010,1500305,1.7319582073245856,4606.14,161293.16,55457.34,9664.91,20205.32,35017,4,3492,0,0,4280,1422
Afuá,2011,1500305,0.0,5382.63,190905.6,63356.36,13032.06,23857.04,35467,7,3813,0,0,4350,1304
Afuá,2012,1500305,0.1505112159860355,6472.82,232238.18,70605.27,23709.3,29479.33,35879,10,4331,0,0,4410,747
Afuá,2013,1500305,0.073927829519938,7164.71,262214.12,91093.1,18400.33,32058.35,36598,3,4650,0,0,1904,915
Afuá,2014,1500305,0.1718992149488081,8142.71,301312.73,107846.22,21485.02,37298.35,37004,4,4991,0,0,2105,863
Afuá,2015,1500305,0.0,8689.28,324961.85,118390.5,25094.21,39791.91,37398,19,5311,0,0,2364,1029
Afuá,2016,1500305,0.0,8425.96,318316.08,109613.66,18038.35,41330.47,37778,16,5725,0,0,1547,817
Afuá,2017,1500305,0.1205471720891121,9392.59,358271.0,133202.54,18343.68,43769.61,38144,13,6737,0,0,1571,1227
Afuá,2018,1500305,0.0,9204.29,357706.45,110607.68,16980.43,50505.86,38863,5,6919,0,0,1515,1122
Afuá,2019,1500305,0.1078024793249266,9405.7,368872.79,112191.4,16897.2,50628.71,39218,1,6572,0,0,1639,950
Afuá,2020,1500305,0.0,11084.53,438581.58,161666.73,19411.88,52815.55,39567,6,6628,0,0,1761,840
Afuá,2021,1500305,0.0,11130.94,444235.79,174162.2,20325.0,46217.53,39910,1,6450,0,0,1842,713
Afuá,2022,1500305,0.1646513047652343,11953.42,474789.07,168951.48,23285.48,57675.41,39720,0,7704,0,0,1505,962
Afuá,2023,1500305,0.2720332688113031,12528.67,499866.63,178164.88,24167.15,60567.45,39898,13,8057,0,0,1482,808
Afuá,2024,1500305,0.0,13103.92,524944.19,187378.28,25048.81,63459.49,40060,49,8410,0,0,721,1039
Alenquer,2008,1500404,39.557240452888806,3844.66,214101.34,74077.24,9928.41,45722.98,55688,399,4077,0,3600,112400,6066
Alenquer,2009,1500404,18.50562281987502,4719.95,269353.16,102907.09,11539.14,54406.25,57067,703,4980,0,3600,147352,5693
Alenquer,2010,1500404,27.531522311243407,6863.69,361812.75,170231.94,22086.77,62026.56,52714,291,5991,0,3500,170396,5187
Alenquer,2011,1500404,21.86844533365137,6805.39,360712.71,151636.36,18824.89,65104.34,53004,303,7466,0,3500,166052,5388
Alenquer,2012,1500404,14.859315120477248,6828.77,364444.63,143240.26,16150.38,67404.42,53369,497,7749,0,3500,160908,5528
Alenquer,2013,1500404,17.811671755966405,10366.5,560154.08,279302.14,26889.76,88544.04,54035,396,8000,0,4800,168444,4935
Alenquer,2014,1500404,16.442435610656066,9784.96,531841.66,233382.74,24901.87,93127.26,54353,536,8563,0,5000,191140,3770
Alenquer,2015,1500404,15.128995050669172,9487.57,518609.64,200261.57,24985.19,98853.19,54662,705,8641,0,3000,189902,2292
Alenquer,2016,1500404,16.199661403271964,12017.42,660477.35,292655.66,29155.14,115648.94,54960,515,8638,0,3000,190903,0
Alenquer,2017,1500404,27.468203761223485,11028.03,609254.7,266752.84,24158.31,104026.94,55246,592,9573,0,3000,188400,541
Alenquer,2018,1500404,22.030701155927137,10032.18,566617.64,185570.65,21356.88,122947.74,56480,276,10916,0,3000,213741,3933
Alenquer,2019,1500404,19.838942749745648,10091.01,573058.15,186124.69,21037.77,125982.08,56789,279,11163,0,3000,205369,4373
Alenquer,2020,1500404,32.85926484235845,12127.74,692396.93,264638.69,23418.11,132515.23,57092,313,11104,0,3000,224431,3618
Alenquer,2021,1500404,31.91596844590526,12988.38,745403.1,302185.38,24543.19,135317.1,57390,223,10910,0,3000,237509,4291
Alenquer,2022,1500404,29.035255061866064,13646.92,772589.55,298555.86,27550.96,147664.22,56613,327,12335,0,3000,224431,4200
Alenquer,2023,1500404,22.290819892761697,14257.11,808665.89,311192.19,28377.03,154861.1,56720,787,12858,0,2000,263592,5163
Alenquer,2024,1500404,34.894175607133285,14867.31,844742.24,323828.52,29203.1,162057.98,56819,479,13382,0,2590,254236,5571
Almeirim,2008,1500503,59.026652078557454,17039.54,536319.63,29553.56,316179.37,94805.84,31475,390,2388,0,160,33108,3339
Almeirim,2009,1500503,23.34307615993181,12177.94,379854.38,27093.1,183212.4,81189.18,31192,473,2376,0,160,34763,2139
Almeirim,2010,1500503,38.54389291374376,17135.52,576867.4,38369.58,321313.12,96868.75,33665,298,2411,0,20,36501,2170
Almeirim,2011,1500503,6.486189809948875,15715.71,527859.19,44337.08,251849.27,94784.39,33588,315,3252,0,28,38326,991
Almeirim,2012,1500503,19.48644721676855,13931.14,467570.88,48783.25,125472.34,119831.36,33563,297,3637,0,90,39475,953
Almeirim,2013,1500503,9.176219814073836,13554.56,454918.07,52062.45,127728.5,108811.21,33562,244,4127,0,95,25312,985
Almeirim,2014,1500503,23.47965219949605,15025.6,502846.79,44628.91,162617.1,119072.15,33466,381,4303,0,95,24124,1088
Almeirim,2015,1500503,12.138711951041724,14243.78,475343.58,58853.33,117825.86,119858.79,33372,565,4057,0,150,21853,928
Almeirim,2016,1500503,14.965068575314394,17736.18,590295.39,70170.44,183121.37,138454.56,33282,451,4155,0,150,21100,1171
Almeirim,2017,1500503,20.79911604091541,20066.97,666123.18,71865.2,252785.77,135868.53,33195,481,5068,0,100,23414,1198
Almeirim,2018,1500503,18.592933222383174,17323.11,591445.69,62484.48,160546.56,138522.62,34142,183,5504,0,100,28110,1585
Almeirim,2019,1500503,29.67244562072369,15930.68,543379.68,62330.84,119998.95,136640.76,34109,236,5421,0,100,28672,1629
Almeirim,2020,1500503,24.70141536916831,18416.47,627559.58,70936.65,188784.49,123150.94,34076,136,5378,0,95,26092,1097
Almeirim,2021,1500503,31.54043403667862,20220.01,688370.09,88297.44,217317.12,118135.5,34044,189,5311,0,95,26966,1651
Almeirim,2022,1500503,18.384417573209586,18841.67,647381.07,84201.84,146829.97,142497.69,34359,291,6091,0,75,26092,2080
Almeirim,2023,1500503,22.80659203040293,19177.54,661043.75,88097.64,140419.18,146011.71,34470,658,6357,0,95,26966,2159
Almeirim,2024,1500503,29.93158967886325,19513.41,674706.43,91993.45,134008.39,149525.74,34577,715,6623,0,94,22750,2078
Altamira,2008,1500602,339.6219893591748,6609.76,640102.68,67005.55,83548.17,286843.68,96842,2675,4878,60,2600,399512,14574
Altamira,2009,1500602,388.934913804469,6994.3,690687.28,76708.39,54587.91,328514.56,98750,1937,7182,250,2175,413625,14363
Altamira,2010,1500602,193.8513381367604,8020.64,842407.87,111658.39,116091.27,348287.73,105030,3781,7032,250,2175,555324,14888
Altamira,2011,1500602,249.8950287131776,12787.71,1288182.41,143085.08,382905.08,444274.16,100736,1448,6662,250,2400,688901,14949
Altamira,2012,1500602,228.95971312344585,21560.59,2206575.8,158823.5,948874.45,701868.89,102343,2884,6951,250,2400,668541,13792
Altamira,2013,1500602,296.53594671169327,29437.25,3094031.22,199598.08,1584642.51,810964.6,105106,947,7157,250,2400,711028,15367
Altamira,2014,1500602,294.22794684756883,36984.97,3948811.43,217978.16,2047422.98,1088449.11,106768,2616,8727,800,1300,687535,15131
Altamira,2015,1500602,308.1992204157817,29538.19,3201407.65,244108.46,1197181.99,1155846.6,108382,3036,9624,3837,1300,628481,11137
Altamira,2016,1500602,408.6537982400085,22713.51,2497077.5,257774.67,611600.16,1051429.06,109938,1951,9016,1500,1300,657436,10171
Altamira,2017,1500602,224.21683681958973,22444.11,2501059.78,245254.42,591160.62,1045666.94,111435,4502,8814,2000,1500,656430,10033
Altamira,2018,1500602,429.95288544050953,24063.7,2723889.96,234008.68,693516.24,1150580.11,113195,1803,9911,2000,1500,707958,9589
Altamira,2019,1500602,575.075842070961,24228.19,2776405.62,251964.37,534191.61,1222573.36,114594,3803,9273,15000,10000,759451,10644
Altamira,2020,1500602,797.6865334027787,22074.59,2559967.72,323941.84,348835.29,1074135.02,115969,4865,10978,14000,10000,797254,9294
Altamira,2021,1500602,765.5287860339106,26595.8,3120219.1,429743.8,443335.1,1337699.12,117320,2934,10247,14000,10500,904271,9406
Altamira,2022,1500602,626.0215439675537,31343.94,3597592.28,375841.16,825121.98,1473423.33,114778,5041,11124,14000,10500,1003968,12281
Altamira,2023,1500602,317.6962792321475,32722.62,3771644.34,397747.09,843348.78,1555145.17,115261,3553,11499,14000,10500,1079168,12135
Altamira,2024,1500602,166.63037932670895,34101.31,3945696.4,419653.02,861575.58,1636867.02,115705,5996,11873,14854,9984,997925,11611
Anajás,2008,1500701,0.0,2673.65,71020.12,13479.14,4370.18,11356.86,26563,7,1831,0,80,700,1296
Anajás,2009,1500701,1.028289285344722,3116.06,85336.34,18159.81,4348.69,13848.86,27386,41,2516,0,80,820,922
Anajás,2010,1500701,11.978023453442315,3850.3,95375.83,25525.52,4981.75,14065.95,24771,8,2959,0,80,858,1246
Anajás,2011,1500701,0.3067108001629317,4485.09,113266.51,29402.29,6146.21,17036.02,25254,11,3382,0,50,860,1187
Anajás,2012,1500701,0.0925813166379668,5066.16,130357.39,33894.43,10597.39,18953.7,25731,20,3494,0,0,910,874
Anajás,2013,1500701,0.0,5809.97,154237.16,39923.36,10941.96,22962.36,26547,9,3703,0,0,990,753
Anajás,2014,1500701,0.0,6179.47,167160.74,36805.24,11062.59,26807.12,27051,5,4216,0,0,1024,951
Anajás,2015,1500701,0.1056042041201989,6571.7,180984.61,41579.21,10643.39,28955.7,27540,73,4043,0,0,970,1044
Anajás,2016,1500701,0.3790389884144489,6450.96,180704.28,35765.1,11043.74,28681.97,28012,38,4465,0,0,950,1012
Anajás,2017,1500701,0.0,7192.82,204750.75,38740.47,11549.76,31270.75,28466,14,5015,0,0,960,1264
Anajás,2018,1500701,0.0,7163.45,206730.03,34360.0,9326.75,35726.45,28859,6,5130,0,0,1610,1358
Anajás,2019,1500701,0.3941495568236798,7288.98,213399.51,31427.22,8156.24,35743.52,29277,9,4879,0,0,1640,1300
Anajás,2020,1500701,0.8951300692990054,7712.08,228956.19,35373.77,6761.9,33511.45,29688,7,5006,0,0,1560,1056
Anajás,2021,1500701,0.9718692758230686,8607.88,259019.58,38552.12,7923.8,38003.87,30091,1,4894,0,0,1310,1005
Anajás,2022,1500701,0.1331565852474091,9006.76,265952.04,42570.29,10531.76,41475.77,29528,2,5721,0,0,1230,1589
Anajás,2023,1500701,0.1965568987568205,9425.1,279590.41,43932.16,10813.57,43606.59,29664,6,5955,0,0,1050,1559
Anajás,2024,1500701,0.0758778752994583,9843.45,293228.79,45294.03,11095.38,45737.41,29789,22,6189,0,0,1463,1607
Ananindeua,2008,1500800,0.0,6753.66,3346301.55,7434.94,553094.21,1788729.39,495480,3,27551,0,0,200,34322
Ananindeua,2009,1500800,0.0,7002.42,3539806.35,10108.24,507713.58,1905362.54,505512,1,30579,0,0,260,37338
Ananindeua,2010,1500800,0.0711188497871711,8692.24,4100512.65,8836.13,670904.36,2171688.61,471744,0,32429,0,0,240,42983
Ananindeua,2011,1500800,0.0,9689.26,4631458.58,11103.97,834337.25,2374043.22,477999,1,34506,0,0,250,41259
Ananindeua,2012,1500800,0.0830101906735353,10571.16,5114548.87,13552.0,1046100.25,2505755.12,483821,0,36717,0,0,146,36971
Ananindeua,2013,1500800,0.0,9920.11,4900296.95,13974.49,845419.62,2374313.58,493976,0,36246,0,0,180,37766
Ananindeua,2014,1500800,0.0,11550.96,5772894.39,11751.93,1027552.4,2890834.56,499776,1,35709,0,0,34,39177
Ananindeua,2015,1500800,0.0,12312.27,6222672.46,12425.17,1129730.8,2987528.16,505404,1,36330,0,0,124,34683
Ananindeua,2016,1500800,0.0,13152.6,6718793.21,10586.53,1045498.42,3391252.89,510834,0,33818,0,0,85,34556
Ananindeua,2017,1500800,0.0,13526.5,6980442.81,11087.8,1099828.65,3483132.33,516057,1,30075,0,0,78,36034
Ananindeua,2018,1500800,0.0,14314.02,7522960.85,10035.86,1010066.14,3931119.87,525566,0,27403,0,0,102,41890
Ananindeua,2019,1500800,0.0,15385.55,8163540.28,10378.86,1104606.09,4255102.23,530598,0,22899,0,0,81,39105
Ananindeua,2020,1500800,0.0,15156.79,8117175.42,11303.0,1085579.12,4014907.54,535547,1,27967,0,0,34,31247
Ananindeua,2021,1500800,0.0,16542.68,8939829.78,13285.36,1035393.93,4679662.84,540410,0,24376,0,0,50,26465
Ananindeua,2022,1500800,0.0,17273.76,9221177.62,12349.55,1237024.17,4676977.95,533826,0,27141,0,0,22,23153
Ananindeua,2023,1500800,0.0,18009.59,9649989.55,12511.74,1278190.96,4893399.46,535825,1,26602,0,0,20,25965
Ananindeua,2024,1500800,0.0,18745.43,10078801.48,12673.92,1319357.76,5109820.97,537667,0,26063,0,0,0,24669
Anapu,2008,1500859,74.62669637906592,4324.87,83945.8,27113.62,12992.33,13070.02,19410,476,1032,0,1510,175384,612
Anapu,2009,1500859,26.76604166116152,4292.46,87656.32,27288.31,9613.2,15873.52,20421,655,2132,0,790,177857,700
Anapu,2010,1500859,77.50600804557838,5443.39,111551.49,37292.55,13496.96,18354.68,20493,455,2290,0,1000,171721,1192
Anapu,2011,1500859,223.26593787860864,6404.06,137034.0,44058.9,15633.35,24083.36,21398,291,2887,0,1000,175023,905
Anapu,2012,1500859,15.828314449444454,8057.03,179067.48,51261.52,17659.7,42375.67,22225,324,2942,0,1200,225093,822
Anapu,2013,1500859,19.161279711186623,8889.17,209864.32,67082.59,17467.27,45545.75,23609,195,3305,0,1200,270460,1209
Anapu,2014,1500859,32.10045130364817,10491.0,257291.76,86289.57,27597.56,56438.95,24525,477,3424,0,800,262642,1554
Anapu,2015,1500859,95.11183780196777,11886.86,302092.66,101137.06,19926.03,71572.54,25414,568,3191,0,500,251681,1221
Anapu,2016,1500859,85.49029881944048,11803.64,310093.51,94403.13,18290.08,74781.5,26271,402,3543,0,600,267860,1222
Anapu,2017,1500859,98.43099279751124,12961.73,351211.11,94524.28,21296.94,96190.48,27096,584,4593,0,700,202400,1408
Anapu,2018,1500859,56.35094426890621,13579.14,368823.1,96752.96,19621.83,112114.91,27161,473,5253,0,700,237584,1724
Anapu,2019,1500859,217.31258541849567,14888.52,415240.96,120023.23,18405.06,122869.48,27890,380,5321,0,700,283448,2209
Anapu,2020,1500859,111.94868902581244,18277.39,522861.32,202523.12,19495.28,127957.14,28607,459,5301,0,700,325932,1557
Anapu,2021,1500859,133.74369541000132,20061.15,588032.29,235104.42,22742.91,140291.94,29312,346,5308,0,800,337782,1788
Anapu,2022,1500859,108.23945055799145,19519.71,558950.02,191632.86,23443.45,148057.58,28635,678,5966,0,1000,362621,2233
Anapu,2023,1500859,95.72291367705787,20680.81,596097.97,204947.19,24147.92,158641.26,28824,837,6281,0,1000,375625,1725
Anapu,2024,1500859,56.84979123420708,21841.91,633245.91,218261.52,24852.4,169224.94,28992,596,6595,0,687,364819,1311
Augusto Corrêa,2008,1500909,0.3134231725368131,2797.8,108442.57,27141.02,3670.82,18519.27,38760,142,3544,0,243,3500,2590
Augusto Corrêa,2009,1500909,0.3903537788577094,2844.7,111844.96,19389.38,3409.53,20768.02,39317,36,4013,0,240,2953,2547
Augusto Corrêa,2010,1500909,0.1360282652659684,3291.63,133307.83,29263.7,4893.66,22114.8,40499,90,4968,0,260,3252,2546
Augusto Corrêa,2011,1500909,0.0,4128.94,169583.82,44706.92,6122.2,26942.17,41072,47,5853,0,150,3177,2767
Augusto Corrêa,2012,1500909,0.0,4894.55,203750.27,56335.35,4372.08,34906.24,41628,72,6266,0,200,3999,2746
Augusto Corrêa,2013,1500909,0.0,5953.23,253554.11,86642.46,10258.14,36564.46,42591,68,6918,0,185,4247,3289
Augusto Corrêa,2014,1500909,0.0,5831.88,251668.8,64532.19,12068.84,41061.16,43154,54,7662,20,170,3795,2893
Augusto Corrêa,2015,1500909,0.1863689384625742,6571.49,287174.06,79547.62,13440.2,46431.16,43700,35,7339,0,150,3556,2982
Augusto Corrêa,2016,1500909,0.0,7008.91,309983.05,79882.05,11776.88,52184.21,44227,62,7406,0,150,3894,2476
Augusto Corrêa,2017,1500909,0.0,7439.09,332780.34,76643.1,13002.14,54402.51,44734,45,7727,0,150,4006,2546
Augusto Corrêa,2018,1500909,0.0,6716.47,305706.65,42909.93,11234.35,56273.04,45516,18,7707,0,300,3820,3736
Augusto Corrêa,2019,1500909,0.0,7052.96,324422.26,35584.07,13153.35,57879.8,45998,42,7512,0,100,3463,3645
Augusto Corrêa,2020,1500909,0.0,7883.59,366358.4,58148.87,13702.99,58149.83,46471,44,7884,0,150,3151,3071
Augusto Corrêa,2021,1500909,0.0,7750.19,363770.78,67395.74,12566.89,56588.75,46937,54,7617,0,170,3549,3255
Augusto Corrêa,2022,1500909,0.0,8831.64,410526.17,72836.92,15944.88,67721.18,46484,83,8906,0,70,3919,3078
Augusto Corrêa,2023,1500909,0.3060583370234578,9245.72,431716.82,75233.06,16797.8,71200.33,46694,87,9214,0,150,4226,2747
Augusto Corrêa,2024,1500909,0.0,9659.79,452907.48,77629.2,17650.72,74679.49,46886,65,9521,0,118,3926,3806
Aurora do Pará,2008,1500958,17.16195844664609,4351.2,96126.63,43425.91,8791.58,13070.97,22092,227,2356,0,1950,93884,1083
Aurora do Pará,2009,1500958,10.674049678456814,4884.79,109004.17,45797.51,7011.02,15991.91,22315,267,2321,0,1850,84499,1466
Aurora do Pará,2010,1500958,10.80711915581371,8012.37,212960.71,108569.73,18462.53,24402.93,26579,203,2719,0,2000,82047,1475
Aurora do Pará,2011,1500958,6.787667818157384,6870.69,185989.6,70594.37,18755.6,23312.79,27070,159,3185,0,2230,82429,962
Aurora do Pará,2012,1500958,0.8782208379182289,6397.32,176412.57,71986.29,9622.84,21959.09,27576,174,3243,0,2500,86450,1361
Aurora do Pará,2013,1500958,4.702666084381167,8108.05,230600.93,106717.7,15244.22,26511.52,28441,164,3429,0,2400,86266,1232
Aurora do Pará,2014,1500958,0.8579831547625071,8294.47,240324.08,103530.4,16335.22,31956.12,28974,153,3609,0,2400,81231,1313
Aurora do Pará,2015,1500958,0.92480832524919,8723.3,257267.56,101706.87,15803.17,35990.17,29492,148,3711,0,3500,80682,1299
Aurora do Pará,2016,1500958,1.5096772607308937,9962.92,298797.8,119040.26,16181.02,42415.76,29991,89,3747,0,240,79862,1449
Aurora do Pará,2017,1500958,4.618091519472411,9103.54,277393.89,95370.68,14039.8,40532.16,30471,123,3848,0,260,79425,1401
Aurora do Pará,2018,1500958,3.65902771410564,8439.67,260751.93,72911.51,12931.28,43057.48,30896,49,3938,0,286,60489,1234
Aurora do Pará,2019,1500958,1.2920651179927138,7041.68,220672.27,39711.56,8721.64,39589.72,31338,73,3815,0,840,69214,1303
Aurora do Pará,2020,1500958,3.106777818352438,8432.15,267914.66,69467.43,9824.83,45327.99,31773,116,4088,0,840,67493,987
Aurora do Pará,2021,1500958,2.5933984659742526,9584.87,308632.69,88250.28,9620.0,47444.52,32200,100,4051,0,850,77764,1321
Aurora do Pará,2022,1500958,2.116373694241257,9852.64,320584.45,87675.78,11925.39,51854.38,32538,108,4433,0,850,90135,1329
Aurora do Pará,2023,1500958,2.871654912123385,10135.78,333397.14,88536.55,11788.35,54467.7,32893,128,4567,0,850,90372,1332
Aurora do Pará,2024,1500958,4.870145931863775,10418.93,346209.83,89397.31,11651.31,57081.01,33229,173,4700,0,409,75556,1523
Aveiro,2008,1501006,32.95077420859727,2681.11,53190.6,10512.2,4937.96,6163.59,19839,287,1680,0,606,35447,
Aveiro,2009,1501006,29.196509231081496,2957.12,59928.97,12013.12,4859.61,6934.86,20266,683,1768,0,667,37229,
Aveiro,2010,1501006,17.928461633753603,3548.43,55948.16,14079.48,1916.25,6301.49,15767,245,2071,0,675,37736,
Aveiro,2011,1501006,34.50322506717344,4184.8,66433.75,16372.74,2619.63,7487.27,15875,346,2239,0,730,37202,
Aveiro,2012,1501006,15.89933029421095,4274.03,67952.82,17580.33,456.96,7862.73,15899,386,2334,0,730,31160,
Aveiro,2013,1501006,14.065318484194853,5472.26,87331.82,27486.41,2876.96,8751.33,15959,305,2413,0,730,43637,
Aveiro,2014,1501006,29.789683267619413,5765.75,91998.25,27129.88,3366.69,9591.84,15956,405,2539,0,900,42160,
Aveiro,2015,1501006,16.03755506479168,6142.82,97996.34,31707.99,3430.28,9474.3,15953,570,2444,0,900,45668,
Aveiro,2016,1501006,13.393869022263436,7559.08,120567.39,49716.37,4056.18,11640.05,15950,277,2311,0,900,47187,
Aveiro,2017,1501006,30.64642732047848,9074.83,144716.25,63576.11,4582.61,13239.4,15947,523,2108,0,950,50942,
